day,playerName,type,asset,amount,price,total
2026-06-20,fabian,BUY,BTC,0.0010,32012,32
2026-06-20,fabian,BUY,BTC,0.0900,32012,2881
2026-06-20,fabian,BUY,BTC,0.1000,32012,3201
2026-06-20,fabian,SELL,BTC,0.0400,32012,1280
2026-06-20,fabian,SELL,BTC,0.0300,52268,1568
2026-06-20,fabian,SELL,BTC,0.2210,41256,9117
2026-06-20,fabian,BUY,BTC,0.1000,31601,3160
2026-06-20,fabian,BUY,BTC,0.0900,31601,2844
2026-06-21,fabian,BUY,BTC,1.0000,50623,50623
2026-06-21,fabian,SELL,BTC,0.0100,50623,506
2026-06-21,god,SELL,BTC,0.0600,50623,3037
2026-06-21,god,SELL,BTC,0.6400,50623,32398
